                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.69979,                0.59881,                  1.067,                0.76743,                0.62988,                0.66794,                0.48298,                 1.1321,                 1.1534,                 1.4766,             0.00039613,             0.00039613,             0.00039613
                     72,                0.70435,                0.61486,                 1.0834,                0.72442,                0.59611,                0.65174,                0.44026,                 1.2416,                  1.225,                 1.5461,             0.00038375,             0.00038375,             0.00038375
                     73,                0.67641,                0.58996,                 1.0606,                0.65952,                0.59344,                0.65736,                0.43264,                  1.214,                 1.2619,                 1.5128,             0.00037138,             0.00037138,             0.00037138
                     74,                0.66622,                0.58806,                 1.0476,                0.70622,                0.62989,                0.65632,                0.45855,                 1.1856,                 1.2373,                 1.4846,               0.000359,               0.000359,               0.000359
                     75,                0.66961,                0.59959,                 1.0602,                0.70214,                0.63559,                0.68319,                0.46211,                 1.1478,                 1.1601,                   1.46,             0.00034663,             0.00034663,             0.00034663
                     76,                0.66184,                0.58003,                 1.0589,                0.81204,                0.55481,                0.68686,                0.43773,                 1.1867,                 1.1712,                  1.497,             0.00033425,             0.00033425,             0.00033425
                     77,                0.65166,                0.59421,                 1.0563,                0.80571,                0.55005,                0.67648,                0.42815,                 1.1481,                 1.1775,                 1.4609,             0.00032188,             0.00032188,             0.00032188
                     78,                0.65571,                0.57833,                 1.0483,                0.69911,                0.58691,                0.62665,                0.41357,                  1.172,                 1.2734,                 1.5116,              0.0003095,              0.0003095,              0.0003095
                     79,                0.67434,                0.60087,                 1.0697,                0.63076,                0.51196,                0.56852,                0.41079,                 1.1667,                 1.3606,                 1.5645,             0.00029713,             0.00029713,             0.00029713
                     80,                0.66412,                0.57953,                 1.0471,                0.66809,                0.60945,                0.60865,                0.42975,                 1.0914,                 1.2432,                 1.4359,             0.00028475,             0.00028475,             0.00028475
                     81,                0.62008,                0.54389,                 1.0226,                0.69882,                0.59948,                0.62653,                0.45198,                 1.0958,                 1.2003,                 1.4095,             0.00027237,             0.00027237,             0.00027237
                     82,                 0.6332,                0.54331,                  1.024,                0.78662,                0.64935,                0.64576,                0.45452,                 1.1244,                 1.1833,                 1.4378,                0.00026,                0.00026,                0.00026
                     83,                0.64707,                0.57052,                 1.0416,                0.72826,                0.62989,                0.68014,                0.46345,                 1.1057,                 1.2192,                 1.4122,             0.00024762,             0.00024762,             0.00024762
                     84,                0.64839,                0.56631,                 1.0388,                0.76044,                0.64239,                0.67524,                0.48461,                  1.069,                  1.071,                 1.4153,             0.00023525,             0.00023525,             0.00023525
                     85,                0.61613,                0.54735,                 1.0224,                0.72956,                0.64565,                0.67358,                0.48029,                 1.0888,                 1.0687,                 1.4473,             0.00022288,             0.00022288,             0.00022288
                     86,                0.62977,                0.55831,                 1.0313,                0.68936,                0.62308,                0.63691,                0.46205,                 1.1506,                 1.1943,                 1.5299,              0.0002105,              0.0002105,              0.0002105
                     87,                0.60516,                 0.5305,                 1.0021,                0.66162,                0.58976,                0.61073,                0.44336,                 1.1784,                  1.247,                 1.5427,             0.00019813,             0.00019813,             0.00019813
                     88,                0.61476,                0.55221,                 1.0322,                0.74472,                0.59891,                0.67265,                0.46823,                 1.2168,                 1.1918,                 1.5378,             0.00018575,             0.00018575,             0.00018575
                     89,                0.62186,                 0.5535,                 1.0305,                0.72585,                0.60642,                0.64496,                0.45305,                 1.1809,                 1.1825,                 1.5216,             0.00017338,             0.00017338,             0.00017338
                     90,                0.60424,                0.55323,                 1.0223,                0.72857,                0.58967,                0.65378,                0.46795,                 1.1733,                 1.0878,                 1.4932,               0.000161,               0.000161,               0.000161
                     91,                 0.5444,                0.47768,                0.98741,                0.66566,                0.64469,                0.64988,                0.45821,                 1.1616,                 1.1704,                 1.4704,             0.00014862,             0.00014862,             0.00014862
                     92,                0.52869,                0.45394,                0.97993,                0.59985,                0.53986,                0.58775,                0.40978,                 1.2186,                 1.3902,                  1.539,             0.00013625,             0.00013625,             0.00013625
                     93,                0.54576,                0.46322,                0.98033,                0.59216,                0.61467,                0.58191,                0.41184,                 1.1876,                  1.336,                 1.5128,             0.00012387,             0.00012387,             0.00012387
                     94,                0.51108,                0.43958,                0.97694,                0.67659,                0.61878,                 0.6423,                0.43808,                 1.1696,                 1.1939,                 1.4893,              0.0001115,              0.0001115,              0.0001115
                     95,                0.52849,                0.44731,                0.98453,                 0.6825,                0.64365,                0.65388,                0.45226,                 1.1456,                  1.117,                 1.4735,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.49375,                0.43128,                 0.9523,                0.72136,                0.66316,                0.68673,                0.46277,                 1.1571,                 1.0726,                 1.4728,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.47005,                0.40864,                0.93755,                0.74886,                0.62391,                0.67691,                0.45829,                  1.153,                   1.09,                 1.4704,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.47648,                0.42613,                0.94588,                0.67586,                0.64107,                0.62704,                0.44327,                 1.1826,                  1.147,                 1.5031,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.49404,                0.42972,                0.96549,                0.71335,                0.63641,                0.63603,                0.44237,                 1.1731,                 1.1756,                 1.5001,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.47084,                0.41296,                0.93938,                0.68009,                0.64309,                0.62744,                0.43177,                 1.1593,                 1.1711,                 1.4885,              3.725e-05,              3.725e-05,              3.725e-05
